Date,Open,High,Low,Close,Adj Close,Volume,SMA15,SMA50,Sell,Buy
2020-01-02,1341.550049,1368.140015,1341.550049,1367.369995,1367.369995,1406600,,,,
2020-01-03,1347.859985,1372.5,1345.543945,1360.660034,1360.660034,1186400,,,,
2020-01-06,1350.0,1396.5,1350.0,1394.209961,1394.209961,1732300,,,,
2020-01-07,1397.939941,1402.98999,1390.380005,1393.339966,1393.339966,1502700,,,,
2020-01-08,1392.079956,1411.579956,1390.839966,1404.319946,1404.319946,1528000,,,,
2020-01-09,1420.569946,1427.329956,1410.27002,1419.829956,1419.829956,1500900,,,,
2020-01-10,1427.560059,1434.928955,1418.349976,1429.72998,1429.72998,1820700,,,,
2020-01-13,1436.130005,1440.52002,1426.02002,1439.22998,1439.22998,1652300,,,,
2020-01-14,1439.01001,1441.800049,1428.369995,1430.880005,1430.880005,1558900,,,,
2020-01-15,1430.209961,1441.39502,1430.209961,1439.199951,1439.199951,1282700,,,,
2020-01-16,1447.439941,1451.98999,1440.920044,1451.699951,1451.699951,1173700,,,,
2020-01-17,1462.910034,1481.295044,1458.219971,1480.390015,1480.390015,2396200,,,,
2020-01-21,1479.119995,1491.849976,1471.199951,1484.400024,1484.400024,2036700,,,,
2020-01-22,1491.0,1503.213989,1484.930054,1485.949951,1485.949951,1610800,,,,
2020-01-23,1487.640015,1495.52002,1482.099976,1486.650024,1486.650024,1351200,1431.1906,,,
2020-01-24,1493.589966,1495.494995,1465.25,1466.709961,1466.709961,1784600,1437.8133,,,
2020-01-27,1431.0,1438.069946,1421.199951,1433.900024,1433.900024,1755200,1442.696,,,
2020-01-28,1443.0,1456.0,1432.469971,1452.560059,1452.560059,1577400,1446.586,,,
2020-01-29,1458.800049,1465.430054,1446.73999,1458.630005,1458.630005,1077700,1450.9387,,,
2020-01-30,1439.959961,1457.280029,1436.400024,1455.839966,1455.839966,1339400,1454.3733,,,
2020-01-31,1468.900024,1470.130005,1428.530029,1434.22998,1434.22998,2417200,1455.3333,,,
2020-02-03,1462.0,1490.0,1458.98999,1485.939941,1485.939941,3055200,1459.0807,,,
2020-02-04,1457.069946,1469.5,1426.300049,1447.069946,1447.069946,3933000,1459.6033,,,
2020-02-05,1462.420044,1463.839966,1430.560059,1448.22998,1448.22998,1986200,1460.76,,,
2020-02-06,1450.329956,1482.0,1449.569946,1476.22998,1476.22998,1679400,1463.2287,,,
2020-02-07,1467.300049,1485.839966,1466.349976,1479.22998,1479.22998,1172300,1465.064,,,
2020-02-10,1474.319946,1509.5,1474.319946,1508.680054,1508.680054,1419900,1466.95,,,
2020-02-11,1511.810059,1529.630005,1505.637939,1508.790039,1508.790039,1344600,1468.576,,,
2020-02-12,1514.47998,1520.694946,1508.109985,1518.27002,1518.27002,1167600,1470.7307,,,
2020-02-13,1512.689941,1527.180054,1504.599976,1514.660034,1514.660034,929500,1472.598,,,
2020-02-14,1515.599976,1520.73999,1507.339966,1520.73999,1520.73999,1197800,1476.2,,,
2020-02-18,1515.0,1531.630005,1512.589966,1519.670044,1519.670044,1120700,1481.918,,,
2020-02-19,1525.069946,1532.105957,1521.400024,1526.689941,1526.689941,949300,1486.86,,,
2020-02-20,1522.0,1529.640015,1506.819946,1518.150024,1518.150024,1096600,1490.828,,,
2020-02-21,1508.030029,1512.214966,1480.439941,1485.109985,1485.109985,1731700,1492.7793,,,
2020-02-24,1426.109985,1436.969971,1411.390015,1421.589966,1421.589966,2867100,1491.9367,,,
2020-02-25,1433.0,1438.140015,1382.400024,1388.449951,1388.449951,2478300,1485.4373,,,
2020-02-26,1396.140015,1415.699951,1379.0,1393.180054,1393.180054,2202400,1481.8447,,,
2020-02-27,1362.060059,1371.703979,1317.170044,1318.089966,1318.089966,2978300,1473.1687,,,
2020-02-28,1277.5,1341.140015,1271.0,1339.329956,1339.329956,3790600,1464.042,,,
2020-03-02,1351.609985,1390.869995,1326.814941,1389.109985,1389.109985,2431500,1458.034,,,
2020-03-03,1399.420044,1410.150024,1332.0,1341.390015,1341.390015,2402300,1446.8813,,,
2020-03-04,1359.22998,1388.089966,1343.109985,1386.52002,1386.52002,1913300,1438.73,,,
2020-03-05,1350.199951,1358.910034,1305.099976,1319.040039,1319.040039,2561300,1425.448,,,
2020-03-06,1277.060059,1306.219971,1261.050049,1298.410034,1298.410034,2660600,1411.0313,,,
2020-03-09,1205.300049,1254.76001,1200.0,1215.560059,1215.560059,3365400,1390.686,,,
2020-03-10,1260.0,1281.150024,1218.77002,1280.390015,1280.390015,2611400,1374.734,,,
2020-03-11,1249.699951,1260.959961,1196.069946,1215.410034,1215.410034,2608500,1353.982,,,
2020-03-12,1126.0,1193.869995,1113.300049,1114.910034,1114.910034,4226700,1327.0993,,,
2020-03-13,1179.0,1219.76001,1117.142944,1219.72998,1219.72998,3700100,1309.4073,1415.366,,
2020-03-16,1096.0,1152.266968,1074.439941,1084.329956,1084.329956,4252400,1286.9233,1409.7052,,
2020-03-17,1093.109985,1130.859985,1056.01001,1119.800049,1119.800049,3861500,1269.0133,1404.888,,
2020-03-18,1056.51001,1106.5,1037.280029,1096.800049,1096.800049,4233400,1249.2547,1398.9398,,
2020-03-19,1093.050049,1157.969971,1060.108032,1115.290039,1115.290039,3651100,1235.7347,1393.3788,,
2020-03-20,1135.719971,1143.98999,1065.48999,1072.319946,1072.319946,3601800,1217.934,1386.7388,,
2020-03-23,1061.319946,1071.319946,1013.5360109999999,1056.619995,1056.619995,4040500,1195.768,1379.4746,,
2020-03-24,1103.77002,1135.0,1090.619995,1134.459961,1134.459961,3344500,1181.9727,1373.5692,,
2020-03-25,1126.469971,1148.900024,1086.01001,1102.48999,1102.48999,4081500,1163.0373,1366.8344,,
2020-03-26,1111.800049,1169.969971,1093.530029,1161.75,1161.75,3571700,1152.5513,1361.4518,,
2020-03-27,1125.670044,1150.670044,1105.910034,1110.709961,1110.709961,3208500,1140.038,1354.882,,
2020-03-30,1125.040039,1151.630005,1096.47998,1146.819946,1146.819946,2574100,1135.4553,1348.7844,,
2020-03-31,1147.300049,1175.310059,1138.140015,1162.810059,1162.810059,2486400,1127.6167,1342.4328,,
2020-04-01,1122.0,1129.689941,1097.449951,1105.619995,1105.619995,2344200,1120.2973,1334.8572,,
2020-04-02,1098.26001,1126.859985,1096.400024,1120.839966,1120.839966,1964900,1120.6927,1327.555,,
2020-04-03,1119.015015,1123.540039,1079.810059,1097.880005,1097.880005,2313400,1112.5693,1319.7796,,
2020-04-06,1138.0,1194.660034,1130.939941,1186.920044,1186.920044,2664700,1119.4087,1314.1838,,
2020-04-07,1221.0,1225.0,1182.22998,1186.51001,1186.51001,2387300,1123.856,1309.236,,
2020-04-08,1206.5,1219.069946,1188.160034,1210.280029,1210.280029,1975100,1131.4213,1304.3904,,
2020-04-09,1224.079956,1225.569946,1196.734985,1211.449951,1211.449951,2175400,1137.832,1299.4468,,
2020-04-13,1209.180054,1220.51001,1187.5980220000001,1217.560059,1217.560059,1739800,1147.5147,1294.6812,,
2020-04-14,1245.089966,1282.069946,1236.930054,1269.22998,1269.22998,2470400,1161.6887,1291.3812,,
2020-04-15,1245.609985,1280.459961,1240.400024,1262.469971,1262.469971,1671700,1170.2227,1286.9118,,
2020-04-16,1274.099976,1279.0,1242.619995,1263.469971,1263.469971,2518100,1180.9547,1283.2398,,
2020-04-17,1284.849976,1294.430054,1271.22998,1283.25,1283.25,1949000,1189.0547,1279.9402,,
2020-04-20,1271.0,1281.599976,1261.369995,1266.609985,1266.609985,1695500,1199.448,1275.7478,,
2020-04-21,1247.0,1254.27002,1209.709961,1216.339966,1216.339966,2153000,1204.0827,1270.49,,
2020-04-22,1245.540039,1285.6130369999998,1242.0,1263.209961,1263.209961,2093100,1210.776,1265.5806,,
2020-04-23,1271.550049,1293.310059,1265.670044,1276.310059,1276.310059,1566200,1222.1553,1260.931,,
2020-04-24,1261.170044,1280.400024,1249.449951,1279.310059,1279.310059,1640400,1232.72,1256.1518,,
2020-04-27,1296.0,1296.150024,1269.0,1275.880005,1275.880005,1600600,1244.5867,1251.3762,,
2020-04-28,1287.930054,1288.050049,1232.199951,1233.670044,1233.670044,2951300,1247.7033,1245.6348,,1247.7033
2020-04-29,1341.459961,1359.98999,1325.339966,1341.47998,1341.47998,3793600,1258.0347,1242.071,,
2020-04-30,1324.880005,1352.819946,1322.48999,1348.660034,1348.660034,2665400,1267.26,1238.5104,,
2020-05-01,1328.5,1352.069946,1311.0,1320.609985,1320.609985,2072500,1274.5373,1234.5596,,
2020-05-04,1308.22998,1327.660034,1299.0,1326.800049,1326.800049,1504000,1281.82,1231.3934,,
2020-05-05,1337.920044,1373.939941,1337.459961,1351.109985,1351.109985,1651500,1287.2787,1229.9838,,
2020-05-06,1361.689941,1371.119995,1347.290039,1347.300049,1347.300049,1215400,1292.934,1229.1608,,
2020-05-07,1365.939941,1377.599976,1355.27002,1372.560059,1372.560059,1397600,1300.2067,1228.7484,,
2020-05-08,1383.130005,1398.76001,1375.47998,1388.369995,1388.369995,1388100,1307.2147,1230.154,,
2020-05-11,1378.280029,1416.530029,1377.1519779999999,1403.26001,1403.26001,1410600,1316.3247,1231.4326,,
2020-05-12,1407.119995,1415.0,1374.77002,1375.73999,1375.73999,1390600,1326.9514,1231.1652,,
2020-05-13,1377.050049,1385.482056,1328.400024,1349.329956,1349.329956,1812600,1332.6927,1231.324,,
2020-05-14,1335.02002,1357.420044,1323.910034,1356.130005,1356.130005,1603100,1338.014,1230.7162,,
2020-05-15,1350.0,1374.47998,1339.0,1373.189941,1373.189941,1707700,1344.2727,1231.7992,,
2020-05-18,1361.75,1392.324951,1354.25,1383.939941,1383.939941,1824000,1351.4767,1233.5098,,
2020-05-19,1386.996948,1392.0,1373.484985,1373.484985,1373.484985,1280600,1360.7977,1236.6683,,
2020-05-20,1389.579956,1410.420044,1387.25,1406.719971,1406.719971,1655400,1365.147,1239.1949,,
2020-05-21,1408.0,1415.48999,1393.449951,1402.800049,1402.800049,1385000,1368.7563,1242.9427,,
2020-05-22,1396.709961,1412.76001,1391.829956,1410.420044,1410.420044,1309400,1374.7437,1248.8529,,
2020-05-26,1437.27002,1441.0,1412.130005,1417.02002,1417.02002,2060600,1380.7583,1252.7987,,
2020-05-27,1417.25,1421.73999,1391.290039,1417.839966,1417.839966,1685800,1385.207,1259.4689,,
2020-05-28,1396.859985,1440.839966,1396.0,1416.72998,1416.72998,1692200,1389.8357,1265.4075,,
2020-05-29,1416.939941,1432.569946,1413.349976,1428.920044,1428.920044,1838100,1393.593,1272.0499,,
2020-06-01,1418.390015,1437.959961,1418.0,1431.819946,1431.819946,1217100,1396.4897,1278.3805,,
2020-06-02,1430.550049,1439.609985,1418.829956,1439.219971,1439.219971,1278100,1398.887,1285.7185,,
2020-06-03,1438.300049,1446.552002,1429.7769779999999,1436.380005,1436.380005,1256200,1402.9297,1293.3137,,
2020-06-04,1430.400024,1438.959961,1404.72998,1412.180054,1412.180054,1484300,1407.1197,1298.8681,,
2020-06-05,1413.170044,1445.050049,1406.0,1438.390015,1438.390015,1734900,1412.6037,1305.5861,,
2020-06-08,1422.339966,1447.98999,1422.339966,1446.609985,1446.609985,1404200,1417.4983,1311.2833,,
2020-06-09,1445.359985,1468.0,1443.209961,1456.160034,1456.160034,1409200,1422.313,1318.1923,,
2020-06-10,1459.540039,1474.259033,1456.27002,1465.849976,1465.849976,1525200,1428.4707,1324.5729,,
2020-06-11,1442.47998,1454.474976,1402.0,1403.839966,1403.839966,1991300,1428.2787,1329.3935,,
2020-06-12,1428.48999,1437.0,1386.02002,1413.180054,1413.180054,1944200,1428.9707,1335.5447,,
2020-06-15,1390.800049,1424.800049,1387.920044,1419.849976,1419.849976,1503900,1429.5993,1341.5249,,
2020-06-16,1445.219971,1455.02002,1425.900024,1442.719971,1442.719971,1709200,1431.3127,1348.4217,,
2020-06-17,1447.160034,1460.0,1431.380005,1451.119995,1451.119995,1548300,1433.5313,1353.7057,,
2020-06-18,1449.160034,1451.410034,1427.01001,1435.959961,1435.959961,1581900,1434.8133,1358.6947,,
2020-06-19,1444.0,1447.800049,1421.349976,1431.719971,1431.719971,3157900,1435.0,1363.1235,,
2020-06-22,1429.0,1452.75,1423.209961,1451.859985,1451.859985,1542400,1436.336,1367.9317,,
2020-06-23,1455.640015,1475.94104,1445.23999,1464.410034,1464.410034,1429800,1438.0153,1372.8687,,
2020-06-24,1461.51001,1475.420044,1429.75,1431.969971,1431.969971,1756000,1437.7213,1376.1235,,
2020-06-25,1429.900024,1442.900024,1420.0,1441.329956,1441.329956,1230500,1439.6647,1379.7007,,
2020-06-26,1431.390015,1433.449951,1351.98999,1359.900024,1359.900024,4267700,1434.432,1381.6293,,
2020-06-29,1358.180054,1395.599976,1347.01001,1394.969971,1394.969971,1810200,1430.9893,1383.8637,,
2020-06-30,1390.439941,1418.650024,1383.959961,1413.609985,1413.609985,2042400,1428.1527,1386.8037,,
2020-07-01,1411.099976,1443.0,1409.819946,1438.040039,1438.040039,1775200,1426.2987,1391.2377,,
2020-07-02,1446.939941,1482.949951,1446.420044,1464.699951,1464.699951,1859100,1430.356,1395.2675,,
2020-07-06,1480.060059,1506.589966,1472.859985,1495.699951,1495.699951,1564000,1435.8573,1399.6553,,
2020-07-07,1490.0,1516.800049,1483.550049,1485.180054,1485.180054,1458200,1440.2127,1403.7727,,
2020-07-08,1494.319946,1505.880005,1485.630005,1496.0,1496.0,1249700,1443.7647,1408.1751,,
2020-07-09,1506.449951,1522.719971,1488.084961,1510.98999,1510.98999,1423300,1447.756,1413.7215,,
2020-07-10,1506.150024,1543.829956,1496.540039,1541.73999,1541.73999,1856300,1454.808,1417.7267,,
2020-07-13,1550.0,1577.131958,1505.243042,1511.339966,1511.339966,1846400,1460.116,1420.9803,,
2020-07-14,1490.310059,1522.949951,1483.5,1520.579956,1520.579956,1585000,1464.6973,1424.9797,,
